province_code,province,province_id,year,Emissions_Tons,Poverty_Rate_Percent,Tax_Score,Tax_Rate,Tax_Rate_Rp_Per_Ton,Government_Revenue_Rp,Government_Revenue_Trillions,National_Total_Trillions,Contribution_Percent
34,DI Yogyakarta,34,2022,11110975.188878626,11.89652968198061,0.31181809306144714,46.77271395921707,46772.71395921707,519690464317.3778,0.5196904643173778,120.91342638475813,0.4298037694041295
34,DI Yogyakarta,34,2023,14973788.08122322,11.585113661289215,0.320407509803772,48.061126470565796,48061.126470565796,719657122715.1199,0.7196571227151198,191.78496065498481,0.3752416874906894
34,DI Yogyakarta,34,2024,18511005.459193736,11.289099551439284,0.32850924134254456,49.27638620138168,49276.38620138168,912155453983.1152,0.9121554539831153,196.38567731566025,0.464471475950338
34,DI Yogyakarta,34,2025,24574160.233921856,10.908975342065094,0.34113582968711853,51.17037445306778,51170.37445306778,1257468981039.469,1.257468981039469,160.23309227791265,0.7847748321916428
34,DI Yogyakarta,34,2026,32156003.182539344,10.569695918709039,0.3555120527744293,53.3268079161644,53326.8079161644,1714777005066.8467,1.7147770050668467,185.8465259730513,0.9226844548686899
34,DI Yogyakarta,34,2027,37511823.13836545,10.366335326656698,0.36529386043548584,54.794079065322876,54794.079065322876,2055425802928.0044,2.0554258029280046,247.10599362923398,0.8317992504916872
34,DI Yogyakarta,34,2028,40330543.07825923,10.254096908420324,0.37052246928215027,55.57837039232254,55578.37039232254,2241505861327.0117,2.2415058613270116,277.70974505192873,0.8071397929906543
34,DI Yogyakarta,34,2029,43272274.541549385,10.033951175957917,0.37730175256729126,56.59526288509369,56595.26288509369,2449005753314.9346,2.4490057533149345,197.20083671833044,1.2418840579327481
34,DI Yogyakarta,34,2030,44922857.429578006,9.669318839535116,0.3842412531375885,57.636187970638275,57636.187970638275,2589182254989.3423,2.589182254989342,197.01718290465732,1.3141910856792258
35,Jawa Timur,35,2010,108619180.0,15.26,0.39250829815864563,58.876243591308594,58876.243591308594,6395089300368.194,6.395089300368194,78.1124105928088,8.18703359918704
35,Jawa Timur,35,2011,91186980.0,14.23,0.3864973485469818,57.97460174560547,57974.60174560547,5286528849884.491,5.286528849884491,103.47364981626575,5.109058063837104
35,Jawa Timur,35,2012,123213880.0,13.24,0.44505608081817627,66.75841522216797,66758.41522216797,8225563362174.377,8.225563362174377,78.72615407483158,10.448323633789771
35,Jawa Timur,35,2013,110856370.0,12.64,0.4361327588558197,65.41991424560547,65419.91424560547,7252214218979.11,7.252214218979111,123.95435609311565,5.850713478380042
35,Jawa Timur,35,2014,109763950.0,12.35,0.4385044276714325,65.77566528320312,65775.66528320312,7219796835362.244,7.219796835362244,96.7359508401548,7.463406078772245
35,Jawa Timur,35,2015,174918860.0,12.31,0.5325446128845215,79.8816909790039,79881.6909790039,13972814320919.646,13.972814320919646,153.75591472698642,9.087659714249167
35,Jawa Timur,35,2016,93960510.0,11.95,0.4217069447040558,63.25604248046875,63256.04248046875,5943570012046.509,5.943570012046509,95.39733471479137,6.230331308328426
